hash_transaction,time,indegree,outdegree,in_btc,out_btc,total_in,total_out,mean_in_btc,mean_out_btc,senders,receivers,fee_btc,unique_senders,unique_receivers,is_self_churn,sender_entropy,receiver_entropy,hour,day_of_week,total_btc,anomaly
46d302feccdb04f629a755cb6f1529dbf742164faa4768ac491958865e08aa8c,2025-08-27 13:24:38,1.0,2.0,[0.03315863],"[0.02427023, 0.00886]",0.03315862999999997,0.03313023000000026,0.03315862999999997,0.01656511500000013,['bc1qyy35jk7jf780earrvmlhu5t6us26ehcr7umk6m'],"['bc1q5h2xh6fskqcqsdwl8xcxsvhxcv0q3yl9rjxu6e', '37N17ttEJzJ2xPjJkR6ozK8FJpsYy9im2w']",2.84e-05,1,2,False,0.0,1.0,13,Wednesday,0.06628886000000023,0
520ae0e0f94d1c4cf70b2c7a8a1a4c9d0c090a5c734bebd12b0ee2f9626608dc,2025-08-27 13:25:03,1.0,1.0,[0.00071945],[0.00069745],0.0007194500000000659,0.0006974499999996553,0.0007194500000000659,0.0006974500000000994,['bc1qklpxgk3j6x6uhzdjdhscrs4k9vvwva3ce947py'],['bc1qpergq9a9ehdz638pp24uwl65ftgmxe6h8xfrjw'],2.2e-05,1,1,False,0.0,1.1102230246251565e-16,13,Wednesday,0.0014169000000006093,0
aa259a74433b05c29aa5fcb036839113d91c71db56ba9e16df54eb1a0fbb0be9,2025-08-27 13:45:40,1.0,1.0,[0.00018366],[0.00016197],0.00018366000000025196,0.00016196999999973372,0.00018365999999980787,0.0001619700000001778,['bc1qsjl2wmkdv8g6s8428epdt75l02cqzftyk5n8fd'],['bc1q3vfr78v86me92c9d0l6x9pmrjxyvzmltrq9gvn'],2.169e-05,1,1,False,0.0,1.1102230246251565e-16,13,Wednesday,0.00034562999999998567,0
946399e2131be5a4d62ca76a8c7b327a1b5588ffc0d985c18e98d3d8ddb27cd4,2025-08-27 13:24:29,1.0,1.0,[0.00062086],[0.0005989],0.0006208599999997233,0.0005988999999999578,0.0006208600000001674,0.0005988999999999578,['bc1qgetqzn46z6mnxtkpz8fm8eqzxchr3h8z66sevq'],['3GfECTCs3DLtaoca3tiz3yNbXsLTLyA517'],2.196e-05,1,1,False,0.0,1.1102230246251565e-16,13,Wednesday,0.001219759999999681,0
e38c294bfc82c62310156995470cf14802a2944b5bfbbcf2b686e78b6f274bb9,2025-08-27 11:53:57,1.0,2.0,[0.07454214],"[0.00833, 0.06620932]",0.07454214000000015,0.07453932000000041,0.07454214000000015,0.037269660000000204,['bc1qmdkg4j05lqmzpslfpwzlh0lf85z44c9dz974lv'],"['bc1qrr0splm6lj5e0ma8hyr2e6un0lalurumq9fw5q', 'bc1qmdkg4j05lqmzpslfpwzlh0lf85z44c9dz974lv']",2.82e-06,1,2,False,0.0,1.0,11,Wednesday,0.14908145999999967,0
2d21b567acd7428ac5aeea98213af1d93f8881b8898e82a88c0945a64111261a,2025-08-27 13:30:09,1.0,3.0,[0.16068726],"[0.00016026, 0.00020032, 0.16028708]",0.16068726000000044,0.16064766000000041,0.16068726,0.05354921999999984,['31s2uanwVDXWkHxpgzhBMKUcQetchTUFzL'],"['14FJc5yQMB4ZVZ1HYo1f8ZuTQBX8zUCbV5', '14G1nvbUZWfVbE5x86Ea4Q1CbaSYZJrBRA', '31s2uanwVDXWkHxpgzhBMKUcQetchTUFzL']",3.96e-05,1,3,False,0.0,1.585,13,Wednesday,0.32133491999999997,0
680a20e184fc1bb1394cdc7755a3c24cb0223357e00c3c07c59dc9094e6406bd,2025-08-27 13:20:39,1.0,2.0,[0.01491703],"[0.00859038, 0.00629911]",0.01491703000000033,0.014889489999999839,0.014917029999999887,0.007444744999999919,['bc1qx92us0sjc94up8ggxwhv429582ptevjh0hepe3'],"['bc1qx92us0sjc94up8ggxwhv429582ptevjh0hepe3', 'bc1qntxnxfz8a8cld9mqqagwj5ua0rmsskw8eqjgv5']",2.754e-05,1,2,False,0.0,1.0,13,Wednesday,0.02980651999999928,0
6ab8f54bf11ec457c3e1685efe93776fd87d952823396067270227748d832a28,2025-08-27 13:54:24,1.0,2.0,[0.16461535],"[0.00981015, 0.154773]",0.16461535000000005,0.16458315000000034,0.16461535000000005,0.08229157500000017,['3QoSnn2m6oHfxvmk9taNofvmp1ZooNKNnw'],"['bc1q5jr47vngtp22zfufx35k255xfvxtg7g3kgffqd', '3Fz46WVn6DWTyDe8wveyCyaMj3vfw87VWR']",3.22e-05,1,2,False,0.0,1.0,13,Wednesday,0.3291985000000004,0
a2853267d7ca0b2637d564bdb5ae04ab20cbf84d64ba93d26140de332553f536,2025-08-27 13:40:12,1.0,1.0,[0.00707134],[0.00705],0.007071340000000426,0.007049999999999557,0.0070713399999999815,0.007050000000000001,['bc1q25sjle7g85jwzgwmsml5awk9gz85av44u36ww7'],['bc1qls3vwy9f0umgpcx7htg0azwuaxmc334cmuq5xm'],2.134e-05,1,1,False,0.0,1.1102230246251565e-16,13,Wednesday,0.01412134000000087,0
9a08ac03c21c063930e06353888b5c3693c457be2e55fed437bf25c61ca39070,2025-08-27 13:21:37,1.0,2.0,[0.00253962],"[0.00101208, 0.0015]",0.0025396200000002978,0.0025120799999998056,0.0025396199999998537,0.0012560399999999028,['bc1qlykcqdnzudpem36ewjpcg48da8d0e2rqracxq9'],"['bc1q07hpd6srexsgx3jmsh48atpa62dl20r9jern9s', '36amodSefe1mho1ZQ3Gms5X4ahVPeoDVMK']",2.754e-05,1,2,False,0.0,1.0,13,Wednesday,0.005051699999999215,0
